Counter, Supernova name, aka., Time period, TNS report, Notes / Links

98,AT 2017ais,PS17ato,24 Jan 2017 - 30 Jan 2017,N,
97,AT 2017alb,PS17atj,24 Jan 2017 - 30 Jan 2017,Y,https://wis-tns.weizmann.ac.il/object/2017alb
95,AT 2017ug ,PS17ahi,24 Jan 2017 - 30 Jan 2017,N,
94,AT 2017ajf ,PS17aqa,24 Jan 2017 - 30 Jan 2017,N,
93,AT 2017ann ,PS17avm,24 Jan 2017 - 30 Jan 2017,N,
92,AT 2017asz ,PS17azz,24 Jan 2017 - 30 Jan 2017,N,
91,AT 2017ail ,PS17asu,24 Jan 2017 - 30 Jan 2017,N,
90,AT 2017aji ,PS17asz,24 Jan 2017 - 30 Jan 2017,N,
89,AT 2017air ,PS17ud,24 Jan 2017 - 30 Jan 2017,Y,https://wis-tns.weizmann.ac.il/object/2017air
88,AT 2017rg,PS17agm,24 Jan 2017 - 30 Jan 2017,N,
87,AT 2017asi,PS17bad,24 Jan 2017 - 30 Jan 2017,N,
86,AT 2017ec ,PS17axn,24 Jan 2017 - 30 Jan 2017,N,
85,AT 2017ajb ,PS17aqz,24 Jan 2017 - 30 Jan 2017,N,
84,AT 2017re,PS17agj,24 Jan 2017 - 30 Jan 2017,N,
83,AT 2017ajl,PS17atb,24 Jan 2017 - 30 Jan 2017,N,
82,AT 2017vs,PS17ait,24 Jan 2017 - 30 Jan 2017,N,
81,AT 2017apo ,PS17axo,24 Jan 2017 - 30 Jan 2017,N,
80,AT 2017aha ,PS17aow,24 Jan 2017 - 30 Jan 2017,N,
79,AT 2017aii ,PS17ari,24 Jan 2017 - 30 Jan 2017,N,
78,AT 2017ala ,PS17atl,24 Jan 2017 - 30 Jan 2017,N,
77,AT 2017vj,PS17aiu,24 Jan 2017 - 30 Jan 2017,N,
76,AT 2017tk,PS17ahr,24 Jan 2017 - 30 Jan 2017,Y,https://wis-tns.weizmann.ac.il/object/2017tk
75,AT 2017agx , PS17apf,24 Jan 2017 - 30 Jan 2017,N,
