Counter,Supernova name,aka.,	Time period,	TNS report,	Notes / Links
13,AT 2017ira , PS17fhe,28 Nov 2017 - 4 Dec 2017,N,
12,AT 2016fnh , PS16eap,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016fnh
11,AT 2016foe , PS16eaz,24 Aug 2016 - 30 Aug 2016,N,
10,AT 2016evr , PS16eay,24 Aug 2016 - 30 Aug 2016,N,
9,AT 2016foi , PS16ebd,24 Aug 2016 - 30 Aug 2016,N,
8,AT 2016fof , PS16eax,24 Aug 2016 - 30 Aug 2016,N,
7,AT 2016fok , PS16ebb,24 Aug 2016 - 30 Aug 2016,N,
6,AT 2016fei , PS16dwc,24 Aug 2016 - 30 Aug 2016,N,
5,AT 2016fev , PS16dwl,17 Aug 2016 - 23 Aug 2016,N,
4,AT 2016fad , PS16dtd,17 Aug 2016 - 23 Aug 2016,N,
3,AT 2016fer , PS16dwf,17 Aug 2016 - 23 Aug 2016,N,
2,AT 2016fes , PS16dwg,17 Aug 2016 - 23 Aug 2016,N,
1,AT 2016ezj,PS16dtg,17 Aug 2016 - 23 Aug 2016,N,
